State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,Outlier_Score,Local_Moran_Significant,Getis_Ord_Significant,Isolation_Forest_Outlier
Osun,IFE EAST,MOORE,29-13-01-005,"L.A. PRY. SCHOOL, IJIO, OJA IFE",206,101,11,0,7.4955493,4.5000978,2,True,True,False
Osun,IREWOLE,IKIRE 'F',29-21-06-011,"OKIN OPEN SPACE, POPO, IKIRE",95,80,2,0,7.4366325,4.2666678,2,True,True,False
Osun,IREPODUN,BARA 'B',29-20-06-010,BABA ODUNAYO,215,93,0,0,7.9021368,4.5315029,2,True,True,False
Osun,ORIADE,IJEBU-JESA,29-28-03-017,"ERUNKUNIPE HALL, IJEBU-JESA",82,88,4,0,7.6795774,4.8080048,2,True,True,False
Osun,OSOGBO,ATAOJA  'A',29-30-01-015,FARM SETTLEMENT,101,64,2,0,7.7119648,4.5676009,2,True,True,True
Osun,BORIPE,AGBA,29-06-05-007,OLUKORO VILLAGE,54,75,0,0,7.8987758,4.7135268,2,True,True,False
Osun,OSOGBO,ARE-AGO,29-30-08-011,"3,OKE AYEPE",169,103,12,0,7.7579253,4.5634969,2,True,True,False
Osun,OSOGBO,ARE-AGO,29-30-08-002,"10, ISALE AGBARA",150,107,4,0,7.7709035,4.5529779,2,True,True,False
Osun,BORIPE,ISALE ASA IREE,29-06-09-008,"BAPTIST WELFARE CENTRE, IREE",71,103,12,0,7.9349237,4.7258235,2,True,True,False
Osun,BORIPE,OKE AREE,29-06-11-002,"COURT HALL, IREE",92,88,6,0,8.0197744,4.6730947,2,True,True,False
Osun,EDE NORTH,ABOGUNDE/SAGBA,29-07-02-003,FED. POLYTECHNIC IN FRONT OF RAMAT HALL,53,95,33,1,7.7294282,4.4223612,2,True,True,False
Osun,EDE NORTH,ABOGUNDE/SAGBA,29-07-02-005,"L.A. PRY. SCHOOL, ADOGBE",52,49,6,1,7.7389671,4.4258053,2,True,True,False
Osun,IFE EAST,OKEREWE  II,29-13-05-005,AKODI LADELATAN LAFOGIDO STREET,107,103,4,1,7.4802556,4.5605083,2,True,True,False
Osun,IFE EAST,OKEREWE  I,29-13-04-007,"AKODI ADAGBA, ADEGOKE STREET",108,142,21,0,7.4415278,4.5882392,2,True,True,False
Osun,EDE NORTH,OLUSOKUN,29-07-04-009,OLUSOKUN COMPD.,139,236,4,5,7.7451179,4.5057333,2,True,True,True
Osun,EDE NORTH,SABO/AGBONGBE II,29-07-07-001,BESIDE EBELOMO IND.,50,0,14,127,7.7564943,4.4542311,2,True,True,False
Osun,EDE NORTH,OLUSOKUN,29-07-04-010,IDIOMO APENA COMPD.,150,261,4,0,7.7451179,4.5057333,2,True,True,True
Osun,OSOGBO,ATAOJA  'A',29-30-01-014,FARM SETTLEMENT,85,37,2,0,7.7119648,4.5676009,2,True,True,True
Osun,IREPODUN,BARA 'B',29-20-06-006,BABA ODUNAYO,101,97,0,0,7.9021368,4.5315029,2,True,True,False
Osun,EDE NORTH,ALUSEKERE,29-07-05-003,"L.A. PRY. SCHOOL, ALUSEKERE",100,304,3,0,7.7389671,4.4258053,2,True,True,True
Osun,OSOGBO,ATAOJA  'A',29-30-01-012,FARM SETTLEMENT,52,26,1,0,7.7119648,4.5676009,2,True,True,True
Osun,OSOGBO,ATAOJA  'A',29-30-01-011,FARM SETTLEMENT,29,6,0,0,7.7119648,4.5676009,2,True,True,True
Osun,OSOGBO,ATAOJA  'A',29-30-01-010,FARM SETTLEMENT,22,7,0,1,7.7119648,4.5676009,2,True,True,True
Osun,OSOGBO,ATAOJA  'A',29-30-01-008,FARM SETTLEMENT,18,34,3,0,7.7119648,4.5676009,2,True,True,True
Osun,OLA-OLUWA,TELEMU,29-26-01-003,"D.C. PRY. SCHOOL, TELEMU I",146,97,0,0,7.695484,4.330498,2,True,True,False
