State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Full_Location,Latitude,Longitude,Latitude_rad,Longitude_rad,Cluster_500m,Cluster_1000m,Cluster_2000m
OSUN,ILA,EJIGBO  III,29-17-03-004,AJABA GARAGE,307,499,True,-1,False,False,False,False,UNKNOWN,133,6,164,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97416/result_39733_1677522915_thumb.jpg,"AJABA GARAGE, EJIGBO  III, ILA, OSUN, Nigeria",8.0015687,4.8676221,0.1396537191395224,0.08495603238784068,65,63,61
OSUN,ILA,EJIGBO  III,29-17-03-005,ONIFADE JUNCTION,285,503,True,-1,False,False,False,False,UNKNOWN,119,6,155,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97417/result_39734_1677523448_thumb.jpg,"ONIFADE JUNCTION, EJIGBO  III, ILA, OSUN, Nigeria",8.0015687,4.8676221,0.1396537191395224,0.08495603238784068,65,63,61
OSUN,ILA,EJIGBO  III,29-17-03-006,NEW GARAGE,338,635,True,-1,False,False,False,False,UNKNOWN,129,3,189,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97418/result_39735_1677523758_thumb.jpg,"NEW GARAGE, EJIGBO  III, ILA, OSUN, Nigeria",8.0015687,4.8676221,0.1396537191395224,0.08495603238784068,65,63,61
OSUN,ILA,EJIGBO  III,29-17-03-007,OGUNLADE JUNCTION,498,832,True,-1,False,True,False,False,UNKNOWN,175,12,294,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97419/result_39736_1677524447_thumb.jpg,"OGUNLADE JUNCTION, EJIGBO  III, ILA, OSUN, Nigeria",8.0045209,4.8924854,0.13970524474969975,0.08538997883575178,-1,-1,50
OSUN,ILA,EJIGBO  III,29-17-03-008,IYANA IRESI,342,727,True,-1,False,False,False,False,UNKNOWN,161,11,164,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97420/result_39737_1677524839_thumb.jpg,"IYANA IRESI, EJIGBO  III, ILA, OSUN, Nigeria",7.9345717,4.834415,0.13848440090056377,0.08437645915780166,-1,25,27
OSUN,ILA,ISEDO  I,29-17-04-001,OLOPONDA I,198,370,True,-1,False,False,False,False,UNKNOWN,87,2,0,106,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/001/001-1677364213.pdf,"OLOPONDA I, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  I,29-17-04-003,OLOPONDA III (ALAKOYI/SECRETARIAT ROAD),188,382,True,-1,False,False,False,False,UNKNOWN,66,1,118,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/003/003-1677366287.pdf,"OLOPONDA III (ALAKOYI/SECRETARIAT ROAD), ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  I,29-17-04-004,OLOJAGBELE I,187,332,True,-1,False,False,False,False,UNKNOWN,31,5,122,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/004/004-1677366797.pdf,"OLOJAGBELE I, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  I,29-17-04-005,OLOJAGBELE II,61,101,True,-1,False,False,False,False,UNKNOWN,22,1,33,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/005/005-1677358914.pdf,"OLOJAGBELE II, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  I,29-17-04-007,LOOWA II,91,158,True,-1,False,False,False,False,UNKNOWN,35,1,53,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/007/007-1677364705.pdf,"LOOWA II, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
