State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,APC_Outlier_Score,PDP_Outlier_Score,LP_Outlier_Score,NNPP_Outlier_Score,Max_Outlier_Score
Osun,AYEDIRE,ILEOGBO  I,29-04-05-002,"LUTHER KING'S COLLEGE, ILEOGBO",231,147,26,0,7.6274092,4.2389295,2,1,3,2,3
Osun,IWO,OKE-OBA  II,29-23-15-012,"D.C. SCHOOL, ANARUN VILLAGE `",73,119,7,0,7.6202821,4.0767324,0,0,2,1,2
Osun,IWO,OKE-OBA  II,29-23-15-021,JOLUEGAN VILLAGE,40,28,0,0,7.6401303,4.1769749,1,2,2,2,2
Osun,OBOKUN,IPETU-ILE/ADAOWODE,29-24-02-004,OLOMU L.A. PRY. SCHOOL,50,96,1,0,7.7987316,4.6700633,2,1,1,1,2
Osun,OBOKUN,ILAHUN/IKINYINWA,29-24-03-004,IKINYINWA TOWN HALL,63,13,10,0,7.7475657,4.7795149,0,0,2,1,2
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-001,ILASE N.U.D. PRY. SCHOOL,35,235,3,1,7.7445696,4.6984965,0,2,0,2,2
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-003,COKER MARKET SQUARE,94,90,3,0,7.7379881,4.6657027,1,2,0,1,2
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-002,ILASE TOWN HALL,28,266,3,0,7.7445696,4.6984965,1,2,0,0,2
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-007,OORA L.A. PRY. SCHOOL,46,38,5,0,7.7379881,4.6657027,1,2,0,1,2
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-008,ALAFON OPEN SPACE,58,77,1,0,7.7168,4.6489,0,2,0,1,2
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-013,ILASE DISPENSARY,36,277,3,0,7.7445696,4.6984965,0,2,0,0,2
Osun,OBOKUN,EESUN/IDOOKO,29-24-05-002,IBALA MATERNITY CENTRE,151,143,1,0,7.7033064,4.7293731,0,1,0,2,2
Osun,IWO,OKE-OBA  II,29-23-15-010,"D.C. PRY. SCHOOL, IDI-IROKO VILLAGE II",26,35,0,0,7.6401303,4.1769749,1,2,2,2,2
Osun,IWO,OKE-OBA  II,29-23-15-006,"D.C. PRY. SCHOOL, AGORO VILLAGE",148,57,2,0,7.6040957,4.1870394,0,2,0,1,2
Osun,OBOKUN,ESA-OKE,29-24-07-007,ESA-OKE L.A. SCHOOL  I,87,301,2,0,7.7590044,4.8965121,1,2,1,1,2
Osun,IWO,OKE-OBA  II,29-23-15-005,"D.C. PRY. SCHOOL, OGUNAJO VILLAGE",36,24,0,0,7.8941347,4.3082023,1,1,1,2,2
Osun,IWO,GIDIGBO  III,29-23-13-008,"D.C. PRY. SCHOOL, LAITO",192,152,3,0,7.6401303,4.1769749,0,2,1,1,2
Osun,IWO,GIDIGBO  III,29-23-13-001,"D.C. PRY. SCHOOL, OKE-IFA I",133,153,8,1,7.6372493,4.1727176,0,2,2,2,2
Osun,IWO,OKE-ADAN  III,29-23-10-010,OLOKOOBI,0,0,0,0,7.6616821,4.1872178,2,0,0,0,2
Osun,ATAKUMOSA WEST,MUROKO,29-02-09-006,ESIRA VILLAGE,81,20,0,0,7.6675547,4.6708709,0,0,0,2,2
Osun,IWO,MOLETE  III,29-23-07-002,OPEN SPACE AMIN ISLAMIC SCH. JUNCTION ,118,98,25,1,7.6427128,4.1897788,0,0,0,2,2
Osun,IWO,MOLETE  II,29-23-06-008,MOTOKESE,0,0,0,0,7.6478767,4.215396,2,0,0,1,2
Osun,IWO,MOLETE  II,29-23-06-005,"WATER WORKS ROAD, OLU YORI",179,120,7,0,7.6478767,4.215396,0,0,2,1,2
Osun,IWO,MOLETE  II,29-23-06-002,AROWOREKI,164,155,3,0,7.640139,4.1769858,0,2,1,1,2
Osun,IWO,MOLETE  I,29-23-05-008,OLOYE,142,129,0,1,7.6339744,4.1840167,0,0,0,2,2
Osun,AYEDAADE,BALOGUN,29-03-01-004,"ST. PATRICK'S GRAMMAR SCHOOL, II ADENUGA AREA, GBONGAN",168,200,5,0,7.4762865,4.3513749,2,1,1,2,2
Osun,IWO,ISALE OBA  II,29-23-02-009,IDI-OKE II,90,108,1,0,7.6446617,4.2028901,2,1,0,1,2
Osun,IWO,ISALE OBA  I,29-23-01-001,"A.U.D. PRY. SCHOOL, AKINFENWA I",269,178,3,0,7.6252123,4.1808158,2,1,2,2,2
Osun,ATAKUMOSA WEST,MUROKO,29-02-09-005,IPOYE VILLAGE,34,57,0,0,7.6675547,4.6708709,0,0,0,2,2
Osun,BORIPE,COLLEGE/EGBADA ROAD,29-06-03-007,ELEESUN VILLAGE I,0,0,0,0,7.8332505,4.6261507,2,0,0,0,2
